ROI,Sequence,Approach,FA
Splenium,dti,dti,0.26939797
Splenium,dti,dti,0.16474187
Splenium,dti,dti,0.14654896
Splenium,dti,dti,0.20380585
Splenium,dti,dti,0.14026538
Splenium,dti,dti,0.13096161
Splenium,dti,dti,0.16908154
Splenium,dti,dti,0.12718531
Splenium,dti,dti,0.16543442
Splenium,dti,dti,0.12778868
Splenium,dti,dti,0.16671535
Splenium,dti,dti,0.24760202
Splenium,dti,dti,0.24439594
Splenium,dti,dti,0.35425717
Splenium,dti,dti,0.50060105
Splenium,dti,dti,0.30361164
Splenium,dti,dti,0.4123544
Splenium,dti,dti,0.49084634
Splenium,dti,dti,0.13390711
Splenium,dti,dti,0.12305418
Splenium,dti,dti,0.12756665
Splenium,dti,dti,0.15934521
Splenium,dti,dti,0.22116823
Splenium,dti,dti,0.1282877
Splenium,dti,dti,0.1542265
Splenium,dti,dti,0.20647489
Splenium,dti,dti,0.12699366
Splenium,dti,dti,0.15023077
Splenium,dti,dti,0.19891843
Splenium,dti,dti,0.156328
Splenium,dti,dti,0.20999394
Splenium,dti,dti,0.32298237
Splenium,dti,dti,0.49442673
Splenium,dti,dti,0.6039712
Splenium,dti,dti,0.16739617
Splenium,dti,dti,0.2346223
Splenium,dti,dti,0.34511745
Splenium,dti,dti,0.4982396
Splenium,dti,dti,0.5822588
Splenium,dti,dti,0.24634409
Splenium,dti,dti,0.33599988
Splenium,dti,dti,0.44588166
Splenium,dti,dti,0.51684123
Splenium,dti,dti,0.56559575
Splenium,dti,dti,0.6233636
Splenium,dti,dti,0.30123347
Splenium,dti,dti,0.35430342
Splenium,dti,dti,0.42147335
Splenium,dti,dti,0.4944527
Splenium,dti,dti,0.39073414
Splenium,dti,dti,0.525726
Splenium,dti,dti,0.14501604
Splenium,dti,dti,0.20369315
Splenium,dti,dti,0.16614655
Splenium,dti,dti,0.2080525
Splenium,dti,dti,0.16893846
Splenium,dti,dti,0.20038901
Splenium,dti,dti,0.31657964
Splenium,dti,dti,0.18447673
Splenium,dti,dti,0.28195542
Splenium,dti,dti,0.1755005
Splenium,dti,dti,0.19506362
Splenium,dti,dti,0.2854975
Splenium,dti,dti,0.44879788
Splenium,dti,dti,0.58999014
Splenium,dti,dti,0.2063655
Splenium,dti,dti,0.22015926
Splenium,dti,dti,0.31020325
Splenium,dti,dti,0.47764736
Splenium,dti,dti,0.59557205
Splenium,dti,dti,0.6848361
Splenium,dti,dti,0.21058951
Splenium,dti,dti,0.2696736
Splenium,dti,dti,0.3707414
Splenium,dti,dti,0.5143318
Splenium,dti,dti,0.6013079
Splenium,dti,dti,0.6549556
Splenium,dti,dti,0.7000214
Splenium,dti,dti,0.20917849
Splenium,dti,dti,0.32140952
Splenium,dti,dti,0.43144196
Splenium,dti,dti,0.5401251
Splenium,dti,dti,0.59679455
Splenium,dti,dti,0.62227243
Splenium,dti,dti,0.675562
Splenium,dti,dti,0.45305434
Splenium,dti,dti,0.47623983
Splenium,dti,dti,0.5018118
Splenium,dti,dti,0.5273015
Splenium,dti,dti,0.6152695
Splenium,dti,dti,0.4217658
Splenium,dti,dti,0.5494674
Splenium,dti,dti,0.7051296
Splenium,dti,dti,0.7261969
Splenium,dti,dti,0.4580587
Splenium,dti,dti,0.6330158
Splenium,dti,dti,0.27871206
Splenium,dti,dti,0.18152717
Splenium,dti,dti,0.2700268
Splenium,dti,dti,0.44413534
Splenium,dti,dti,0.16631094
Splenium,dti,dti,0.24424416
Splenium,dti,dti,0.39941096
Splenium,dti,dti,0.18310052
Splenium,dti,dti,0.18235175
Splenium,dti,dti,0.25426513
Splenium,dti,dti,0.40383402
Splenium,dti,dti,0.55797523
Splenium,dti,dti,0.715944
Splenium,dti,dti,0.77897537
Splenium,dti,dti,0.22249232
Splenium,dti,dti,0.2108494
Splenium,dti,dti,0.28010017
Splenium,dti,dti,0.4333538
Splenium,dti,dti,0.5674825
Splenium,dti,dti,0.69086134
Splenium,dti,dti,0.74972093
Splenium,dti,dti,0.22412619
Splenium,dti,dti,0.27592
Splenium,dti,dti,0.37456173
