ROI,Sequence,Approach,FA
Splenium,NowLteDetuned,QTI,0.65110105
Splenium,NowLteDetuned,QTI,0.6034274
Splenium,NowLteDetuned,QTI,0.5292319
Splenium,NowLteDetuned,QTI,0.581062
Splenium,NowLteDetuned,QTI,0.5743053
Splenium,NowLteDetuned,QTI,0.4580534
Splenium,NowLteDetuned,QTI,0.54095453
Splenium,NowLteDetuned,QTI,0.40260077
Splenium,NowLteDetuned,QTI,0.5025768
Splenium,NowLteDetuned,QTI,0.35299012
Splenium,NowLteDetuned,QTI,0.47729987
Splenium,NowLteDetuned,QTI,0.6697501
Splenium,NowLteDetuned,QTI,0.51946765
Splenium,NowLteDetuned,QTI,0.5935083
Splenium,NowLteDetuned,QTI,0.642712
Splenium,NowLteDetuned,QTI,0.3357037
Splenium,NowLteDetuned,QTI,0.38086173
Splenium,NowLteDetuned,QTI,0.48519778
Splenium,NowLteDetuned,QTI,0.5047724
Splenium,NowLteDetuned,QTI,0.47535968
Splenium,NowLteDetuned,QTI,0.4628093
Splenium,NowLteDetuned,QTI,0.6070013
Splenium,NowLteDetuned,QTI,0.7318415
Splenium,NowLteDetuned,QTI,0.42822474
Splenium,NowLteDetuned,QTI,0.5240383
Splenium,NowLteDetuned,QTI,0.66116035
Splenium,NowLteDetuned,QTI,0.3825827
Splenium,NowLteDetuned,QTI,0.48555088
Splenium,NowLteDetuned,QTI,0.62332135
Splenium,NowLteDetuned,QTI,0.45287466
Splenium,NowLteDetuned,QTI,0.59274715
Splenium,NowLteDetuned,QTI,0.710907
Splenium,NowLteDetuned,QTI,0.7790948
Splenium,NowLteDetuned,QTI,0.82534665
Splenium,NowLteDetuned,QTI,0.44946826
Splenium,NowLteDetuned,QTI,0.53049594
Splenium,NowLteDetuned,QTI,0.6080932
Splenium,NowLteDetuned,QTI,0.6646582
Splenium,NowLteDetuned,QTI,0.726241
Splenium,NowLteDetuned,QTI,0.45095733
Splenium,NowLteDetuned,QTI,0.47968945
Splenium,NowLteDetuned,QTI,0.5117878
Splenium,NowLteDetuned,QTI,0.5983104
Splenium,NowLteDetuned,QTI,0.7153986
Splenium,NowLteDetuned,QTI,0.7727979
Splenium,NowLteDetuned,QTI,0.3927099
Splenium,NowLteDetuned,QTI,0.37193483
Splenium,NowLteDetuned,QTI,0.4234203
Splenium,NowLteDetuned,QTI,0.522735
Splenium,NowLteDetuned,QTI,0.30639857
Splenium,NowLteDetuned,QTI,0.53161156
Splenium,NowLteDetuned,QTI,0.47871834
Splenium,NowLteDetuned,QTI,0.66695094
Splenium,NowLteDetuned,QTI,0.5158125
Splenium,NowLteDetuned,QTI,0.6622789
Splenium,NowLteDetuned,QTI,0.5338827
Splenium,NowLteDetuned,QTI,0.63867736
Splenium,NowLteDetuned,QTI,0.74117726
