ROI,Sequence,Approach,MD
Splenium,dti,dti,0.00079292624
Splenium,dti,dti,0.0008127708
Splenium,dti,dti,0.0008138472
Splenium,dti,dti,0.0007969125
Splenium,dti,dti,0.00077062915
Splenium,dti,dti,0.00079101627
Splenium,dti,dti,0.0007814944
Splenium,dti,dti,0.0008377913
Splenium,dti,dti,0.00082335406
Splenium,dti,dti,0.00084575365
Splenium,dti,dti,0.00083271443
Splenium,dti,dti,0.00085651857
Splenium,dti,dti,0.00085566344
Splenium,dti,dti,0.000897068
Splenium,dti,dti,0.0009421621
Splenium,dti,dti,0.0010992263
Splenium,dti,dti,0.00118471
Splenium,dti,dti,0.0011250899
Splenium,dti,dti,0.0009326654
Splenium,dti,dti,0.00089448964
Splenium,dti,dti,0.0008013523
Splenium,dti,dti,0.0007204157
Splenium,dti,dti,0.00073747354
Splenium,dti,dti,0.0007754949
Splenium,dti,dti,0.00073178776
Splenium,dti,dti,0.0007684233
Splenium,dti,dti,0.00081967824
Splenium,dti,dti,0.00079042214
Splenium,dti,dti,0.00081751775
Splenium,dti,dti,0.00081278424
Splenium,dti,dti,0.0008299332
Splenium,dti,dti,0.0008564649
Splenium,dti,dti,0.0008916561
Splenium,dti,dti,0.0008884196
Splenium,dti,dti,0.0008057796
Splenium,dti,dti,0.0008142587
Splenium,dti,dti,0.0008441505
Splenium,dti,dti,0.0008934913
Splenium,dti,dti,0.0008994536
Splenium,dti,dti,0.00084731705
Splenium,dti,dti,0.00094479613
Splenium,dti,dti,0.0010731975
Splenium,dti,dti,0.0010612718
Splenium,dti,dti,0.0009747419
Splenium,dti,dti,0.0008787176
Splenium,dti,dti,0.0011155127
Splenium,dti,dti,0.0013605098
Splenium,dti,dti,0.0013140523
Splenium,dti,dti,0.0011150051
Splenium,dti,dti,0.0014306214
Splenium,dti,dti,0.0011166425
Splenium,dti,dti,0.0008280043
Splenium,dti,dti,0.0007323873
Splenium,dti,dti,0.0007046139
Splenium,dti,dti,0.0006737225
Splenium,dti,dti,0.00067209837
Splenium,dti,dti,0.0006842521
Splenium,dti,dti,0.0007107703
Splenium,dti,dti,0.0007512431
Splenium,dti,dti,0.0007902169
Splenium,dti,dti,0.0007376246
Splenium,dti,dti,0.00077613944
Splenium,dti,dti,0.00081414054
Splenium,dti,dti,0.00085125834
Splenium,dti,dti,0.00086255773
Splenium,dti,dti,0.0007439211
Splenium,dti,dti,0.000776128
Splenium,dti,dti,0.0008069102
Splenium,dti,dti,0.0008354447
Splenium,dti,dti,0.0008514532
Splenium,dti,dti,0.0008605465
Splenium,dti,dti,0.0007423469
Splenium,dti,dti,0.00076477707
Splenium,dti,dti,0.0008087962
Splenium,dti,dti,0.00087298075
Splenium,dti,dti,0.0008895634
Splenium,dti,dti,0.00088107534
Splenium,dti,dti,0.00083323393
Splenium,dti,dti,0.0007356437
Splenium,dti,dti,0.00075847004
Splenium,dti,dti,0.0008318252
Splenium,dti,dti,0.00095304166
Splenium,dti,dti,0.00096504146
Splenium,dti,dti,0.00091956794
Splenium,dti,dti,0.00084271765
Splenium,dti,dti,0.0009801852
Splenium,dti,dti,0.0012342926
Splenium,dti,dti,0.001250842
Splenium,dti,dti,0.0011398923
Splenium,dti,dti,0.0009618709
Splenium,dti,dti,0.0014023082
Splenium,dti,dti,0.0011067827
Splenium,dti,dti,0.0007808259
Splenium,dti,dti,0.0007412654
Splenium,dti,dti,0.0013759983
Splenium,dti,dti,0.000740527
Splenium,dti,dti,0.0007113253
Splenium,dti,dti,0.00070045626
Splenium,dti,dti,0.0007150305
Splenium,dti,dti,0.00073613494
Splenium,dti,dti,0.0007283438
Splenium,dti,dti,0.00076191424
Splenium,dti,dti,0.0007909045
Splenium,dti,dti,0.0007040705
Splenium,dti,dti,0.0007409555
Splenium,dti,dti,0.0007725545
Splenium,dti,dti,0.0007984871
Splenium,dti,dti,0.00081259996
Splenium,dti,dti,0.0008191503
Splenium,dti,dti,0.0008030606
Splenium,dti,dti,0.0007196989
Splenium,dti,dti,0.0007452306
Splenium,dti,dti,0.0007660759
Splenium,dti,dti,0.0007825544
Splenium,dti,dti,0.0008053542
Splenium,dti,dti,0.0008321708
Splenium,dti,dti,0.00081756274
Splenium,dti,dti,0.0007202653
Splenium,dti,dti,0.0007169696
Splenium,dti,dti,0.00073044637
Splenium,dti,dti,0.00076056353
Splenium,dti,dti,0.0007913141
Splenium,dti,dti,0.0008225009
Splenium,dti,dti,0.00080651446
Splenium,dti,dti,0.0007746477
Splenium,dti,dti,0.0007654192
Splenium,dti,dti,0.0007196311
Splenium,dti,dti,0.0006778784
Splenium,dti,dti,0.000682551
Splenium,dti,dti,0.00073223014
Splenium,dti,dti,0.00077230576
Splenium,dti,dti,0.0008063322
Splenium,dti,dti,0.00078871736
Splenium,dti,dti,0.0007542656
Splenium,dti,dti,0.00076171936
Splenium,dti,dti,0.0007749377
Splenium,dti,dti,0.0007238719
Splenium,dti,dti,0.0006689101
Splenium,dti,dti,0.00072253915
Splenium,dti,dti,0.00087840424
Splenium,dti,dti,0.000925658
Splenium,dti,dti,0.0009116517
Splenium,dti,dti,0.0008392698
Splenium,dti,dti,0.00074967486
Splenium,dti,dti,0.0007504178
Splenium,dti,dti,0.0007633389
Splenium,dti,dti,0.00075259525
Splenium,dti,dti,0.0010548584
Splenium,dti,dti,0.00091245613
Splenium,dti,dti,0.0007511129
Splenium,dti,dti,0.00073979265
Splenium,dti,dti,0.00074812345
Splenium,dti,dti,0.00074355496
Splenium,dti,dti,0.0011596072
Splenium,dti,dti,0.0008160373
Splenium,dti,dti,0.00074091397
Splenium,dti,dti,0.00069995964
Splenium,dti,dti,0.0007140713
Splenium,dti,dti,0.00072696
Splenium,dti,dti,0.0014230239
Splenium,dti,dti,0.00075897016
Splenium,dti,dti,0.0006665132
Splenium,dti,dti,0.0006943003
Splenium,dti,dti,0.00071965245
Splenium,dti,dti,0.00086462067
Splenium,dti,dti,0.00073709927
Splenium,dti,dti,0.0007401247
Splenium,dti,dti,0.0007345502
Splenium,dti,dti,0.00073373533
Splenium,dti,dti,0.0007882172
Splenium,dti,dti,0.00073110434
Splenium,dti,dti,0.00074147707
Splenium,dti,dti,0.0007536721
Splenium,dti,dti,0.00076720834
Splenium,dti,dti,0.00071959535
Splenium,dti,dti,0.0007216855
Splenium,dti,dti,0.0007353777
Splenium,dti,dti,0.0007639802
Splenium,dti,dti,0.000802518
Splenium,dti,dti,0.0008052785
Splenium,dti,dti,0.00071384315
Splenium,dti,dti,0.00071410753
Splenium,dti,dti,0.00072672823
Splenium,dti,dti,0.0007523942
Splenium,dti,dti,0.0007783479
Splenium,dti,dti,0.00080463925
Splenium,dti,dti,0.00079992536
Splenium,dti,dti,0.00078420417
Splenium,dti,dti,0.00077895564
Splenium,dti,dti,0.0006984239
Splenium,dti,dti,0.00070452644
Splenium,dti,dti,0.00072747585
Splenium,dti,dti,0.00076698035
Splenium,dti,dti,0.0007893865
Splenium,dti,dti,0.000800485
Splenium,dti,dti,0.00078836316
Splenium,dti,dti,0.0007684006
Splenium,dti,dti,0.0007756939
Splenium,dti,dti,0.00078710006
Splenium,dti,dti,0.00083587447
Splenium,dti,dti,0.0007333238
Splenium,dti,dti,0.000725158
Splenium,dti,dti,0.0007364132
Splenium,dti,dti,0.00076420873
Splenium,dti,dti,0.00077730854
Splenium,dti,dti,0.0007832143
Splenium,dti,dti,0.00076666084
Splenium,dti,dti,0.00074373494
Splenium,dti,dti,0.0007555294
Splenium,dti,dti,0.0007725109
Splenium,dti,dti,0.00075882935
Splenium,dti,dti,0.00075649744
Splenium,dti,dti,0.0007595007
Splenium,dti,dti,0.0008017511
Splenium,dti,dti,0.00081230974
Splenium,dti,dti,0.0008077702
Splenium,dti,dti,0.0007713579
Splenium,dti,dti,0.0007275087
Splenium,dti,dti,0.00073641597
Splenium,dti,dti,0.00075327023
Splenium,dti,dti,0.0007477674
Splenium,dti,dti,0.0010390779
Splenium,dti,dti,0.0010359678
Splenium,dti,dti,0.0009155568
Splenium,dti,dti,0.0007617215
Splenium,dti,dti,0.00072062504
Splenium,dti,dti,0.0006955679
Splenium,dti,dti,0.0007107639
Splenium,dti,dti,0.0007244867
Splenium,dti,dti,0.0007294616
Splenium,dti,dti,0.0010869785
Splenium,dti,dti,0.00080842164
Splenium,dti,dti,0.0007209724
Splenium,dti,dti,0.0006597099
Splenium,dti,dti,0.00068911246
Splenium,dti,dti,0.0007157374
Splenium,dti,dti,0.0008943705
Splenium,dti,dti,0.0007761533
Splenium,dti,dti,0.0006983007
Splenium,dti,dti,0.0007203598
Splenium,dti,dti,0.0007373829
Splenium,dti,dti,0.00072227354
Splenium,dti,dti,0.0010508669
Splenium,dti,dti,0.0008658201
Splenium,dti,dti,0.00072820584
Splenium,dti,dti,0.00073206815
Splenium,dti,dti,0.0007328895
Splenium,dti,dti,0.0007119506
Splenium,dti,dti,0.00073841616
Splenium,dti,dti,0.00070220913
Splenium,dti,dti,0.0006838164
Splenium,dti,dti,0.0011898396
Splenium,dti,dti,0.00074958144
Splenium,dti,dti,0.0007773718
Splenium,dti,dti,0.00067952054
Splenium,dti,dti,0.0010570915
Splenium,dti,dti,0.0007285231
Splenium,dti,dti,0.00072239037
Splenium,dti,dti,0.0007419078
Splenium,dti,dti,0.000777311
Splenium,dti,dti,0.000787773
Splenium,dti,dti,0.0007303176
Splenium,dti,dti,0.0007519888
Splenium,dti,dti,0.0007697482
Splenium,dti,dti,0.0007849607
Splenium,dti,dti,0.0007846851
Splenium,dti,dti,0.0007786027
Splenium,dti,dti,0.0007137816
Splenium,dti,dti,0.00073826837
Splenium,dti,dti,0.0007780944
Splenium,dti,dti,0.00079151354
Splenium,dti,dti,0.00078659365
