ROI,Sequence,Approach,MD
Splenium,NowLteDetuned,QTI,0.51233023
Splenium,NowLteDetuned,QTI,0.5935328
Splenium,NowLteDetuned,QTI,0.6424283
Splenium,NowLteDetuned,QTI,0.68036616
Splenium,NowLteDetuned,QTI,0.6376534
Splenium,NowLteDetuned,QTI,0.7153014
Splenium,NowLteDetuned,QTI,0.6066946
Splenium,NowLteDetuned,QTI,0.8429665
Splenium,NowLteDetuned,QTI,0.75918573
Splenium,NowLteDetuned,QTI,0.9439263
Splenium,NowLteDetuned,QTI,0.8750314
Splenium,NowLteDetuned,QTI,0.7004794
Splenium,NowLteDetuned,QTI,1.0454345
Splenium,NowLteDetuned,QTI,1.0964018
Splenium,NowLteDetuned,QTI,1.087507
Splenium,NowLteDetuned,QTI,1.705692
Splenium,NowLteDetuned,QTI,1.7022316
Splenium,NowLteDetuned,QTI,1.4443977
Splenium,NowLteDetuned,QTI,1.1113442
Splenium,NowLteDetuned,QTI,1.0844594
Splenium,NowLteDetuned,QTI,0.8785209
Splenium,NowLteDetuned,QTI,0.57458377
Splenium,NowLteDetuned,QTI,0.58102363
Splenium,NowLteDetuned,QTI,0.74134207
Splenium,NowLteDetuned,QTI,0.60389227
Splenium,NowLteDetuned,QTI,0.6840196
Splenium,NowLteDetuned,QTI,0.8300267
Splenium,NowLteDetuned,QTI,0.7299091
Splenium,NowLteDetuned,QTI,0.7429047
Splenium,NowLteDetuned,QTI,0.8363909
Splenium,NowLteDetuned,QTI,0.7806048
Splenium,NowLteDetuned,QTI,0.7394077
Splenium,NowLteDetuned,QTI,0.7268634
Splenium,NowLteDetuned,QTI,0.7314789
Splenium,NowLteDetuned,QTI,0.792225
Splenium,NowLteDetuned,QTI,0.932944
Splenium,NowLteDetuned,QTI,1.0114152
Splenium,NowLteDetuned,QTI,1.0079583
Splenium,NowLteDetuned,QTI,0.94452924
Splenium,NowLteDetuned,QTI,1.1463515
Splenium,NowLteDetuned,QTI,1.3535645
Splenium,NowLteDetuned,QTI,1.3879046
Splenium,NowLteDetuned,QTI,1.2284589
Splenium,NowLteDetuned,QTI,0.9429059
Splenium,NowLteDetuned,QTI,0.8085705
Splenium,NowLteDetuned,QTI,1.7595485
Splenium,NowLteDetuned,QTI,1.9739913
Splenium,NowLteDetuned,QTI,1.7587147
Splenium,NowLteDetuned,QTI,1.296172
Splenium,NowLteDetuned,QTI,1.6814295
Splenium,NowLteDetuned,QTI,1.1882954
Splenium,NowLteDetuned,QTI,0.86969894
Splenium,NowLteDetuned,QTI,0.5917646
Splenium,NowLteDetuned,QTI,0.6973967
Splenium,NowLteDetuned,QTI,0.59173745
Splenium,NowLteDetuned,QTI,0.60673136
Splenium,NowLteDetuned,QTI,0.6342742
Splenium,NowLteDetuned,QTI,0.6552036
Splenium,NowLteDetuned,QTI,0.7363632
Splenium,NowLteDetuned,QTI,0.80214727
Splenium,NowLteDetuned,QTI,0.7037569
Splenium,NowLteDetuned,QTI,0.8248088
Splenium,NowLteDetuned,QTI,0.92876774
Splenium,NowLteDetuned,QTI,0.8600344
Splenium,NowLteDetuned,QTI,0.8081907
Splenium,NowLteDetuned,QTI,0.6609907
Splenium,NowLteDetuned,QTI,0.7889728
Splenium,NowLteDetuned,QTI,0.87711686
Splenium,NowLteDetuned,QTI,0.8630734
Splenium,NowLteDetuned,QTI,0.8417786
Splenium,NowLteDetuned,QTI,0.8053419
Splenium,NowLteDetuned,QTI,0.68366694
Splenium,NowLteDetuned,QTI,0.7942399
Splenium,NowLteDetuned,QTI,0.88864917
Splenium,NowLteDetuned,QTI,0.9413613
Splenium,NowLteDetuned,QTI,0.89301765
Splenium,NowLteDetuned,QTI,0.8267279
Splenium,NowLteDetuned,QTI,0.7938619
Splenium,NowLteDetuned,QTI,0.8292313
Splenium,NowLteDetuned,QTI,0.8472217
Splenium,NowLteDetuned,QTI,0.9930295
Splenium,NowLteDetuned,QTI,1.3573079
Splenium,NowLteDetuned,QTI,1.3663546
Splenium,NowLteDetuned,QTI,1.1222448
Splenium,NowLteDetuned,QTI,0.9253032
Splenium,NowLteDetuned,QTI,1.2752059
Splenium,NowLteDetuned,QTI,1.8570676
Splenium,NowLteDetuned,QTI,1.8461246
Splenium,NowLteDetuned,QTI,1.4543618
Splenium,NowLteDetuned,QTI,1.063473
Splenium,NowLteDetuned,QTI,2.0996175
Splenium,NowLteDetuned,QTI,1.4638584
Splenium,NowLteDetuned,QTI,0.7979473
Splenium,NowLteDetuned,QTI,0.7632091
Splenium,NowLteDetuned,QTI,1.8170633
Splenium,NowLteDetuned,QTI,0.8285116
Splenium,NowLteDetuned,QTI,0.49962336
Splenium,NowLteDetuned,QTI,0.6411361
Splenium,NowLteDetuned,QTI,0.5748379
Splenium,NowLteDetuned,QTI,0.57466674
Splenium,NowLteDetuned,QTI,0.6844612
Splenium,NowLteDetuned,QTI,0.7285622
Splenium,NowLteDetuned,QTI,0.7239853
Splenium,NowLteDetuned,QTI,0.5987802
Splenium,NowLteDetuned,QTI,0.74275047
Splenium,NowLteDetuned,QTI,0.8660684
Splenium,NowLteDetuned,QTI,0.86114204
Splenium,NowLteDetuned,QTI,0.85256594
Splenium,NowLteDetuned,QTI,0.81192535
Splenium,NowLteDetuned,QTI,0.7734114
Splenium,NowLteDetuned,QTI,0.60970414
Splenium,NowLteDetuned,QTI,0.76699406
Splenium,NowLteDetuned,QTI,0.8942314
Splenium,NowLteDetuned,QTI,0.8963088
Splenium,NowLteDetuned,QTI,0.8809168
Splenium,NowLteDetuned,QTI,0.8303224
Splenium,NowLteDetuned,QTI,0.7933132
Splenium,NowLteDetuned,QTI,0.666543
Splenium,NowLteDetuned,QTI,0.77125674
Splenium,NowLteDetuned,QTI,0.88627154
Splenium,NowLteDetuned,QTI,0.93653053
Splenium,NowLteDetuned,QTI,0.92004305
Splenium,NowLteDetuned,QTI,0.846533
Splenium,NowLteDetuned,QTI,0.81457746
Splenium,NowLteDetuned,QTI,0.8187389
Splenium,NowLteDetuned,QTI,0.81410784
Splenium,NowLteDetuned,QTI,0.8018181
Splenium,NowLteDetuned,QTI,0.7410064
Splenium,NowLteDetuned,QTI,0.82350945
Splenium,NowLteDetuned,QTI,1.0584747
Splenium,NowLteDetuned,QTI,1.0895954
Splenium,NowLteDetuned,QTI,0.9626324
Splenium,NowLteDetuned,QTI,0.8581525
Splenium,NowLteDetuned,QTI,0.78014374
Splenium,NowLteDetuned,QTI,0.78049845
Splenium,NowLteDetuned,QTI,0.7992448
Splenium,NowLteDetuned,QTI,0.8415468
Splenium,NowLteDetuned,QTI,0.7697528
Splenium,NowLteDetuned,QTI,0.9096157
Splenium,NowLteDetuned,QTI,1.2983093
Splenium,NowLteDetuned,QTI,1.3382523
Splenium,NowLteDetuned,QTI,1.1441076
Splenium,NowLteDetuned,QTI,0.92545205
Splenium,NowLteDetuned,QTI,0.72675306
Splenium,NowLteDetuned,QTI,0.73766804
Splenium,NowLteDetuned,QTI,0.79057866
Splenium,NowLteDetuned,QTI,0.826362
Splenium,NowLteDetuned,QTI,1.5922772
