ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.050166056
Splenium,NowLteDetuned,QTI,0.099855125
Splenium,NowLteDetuned,QTI,0.10010515
Splenium,NowLteDetuned,QTI,0.11377959
Splenium,NowLteDetuned,QTI,0.17582805
Splenium,NowLteDetuned,QTI,0.15965375
Splenium,NowLteDetuned,QTI,0.044110477
Splenium,NowLteDetuned,QTI,0.17831942
Splenium,NowLteDetuned,QTI,0.12729101
Splenium,NowLteDetuned,QTI,0.19992599
Splenium,NowLteDetuned,QTI,0.1968096
Splenium,NowLteDetuned,QTI,0.12753616
Splenium,NowLteDetuned,QTI,0.16643134
Splenium,NowLteDetuned,QTI,0.14110588
Splenium,NowLteDetuned,QTI,0.13427925
Splenium,NowLteDetuned,QTI,0.21262738
Splenium,NowLteDetuned,QTI,0.20559822
Splenium,NowLteDetuned,QTI,0.1777773
Splenium,NowLteDetuned,QTI,0.21397014
Splenium,NowLteDetuned,QTI,0.21710591
Splenium,NowLteDetuned,QTI,0.20758906
Splenium,NowLteDetuned,QTI,0.12923242
Splenium,NowLteDetuned,QTI,0.15591002
Splenium,NowLteDetuned,QTI,0.19579282
Splenium,NowLteDetuned,QTI,0.10225852
Splenium,NowLteDetuned,QTI,0.15041433
Splenium,NowLteDetuned,QTI,0.19820035
Splenium,NowLteDetuned,QTI,0.15128854
Splenium,NowLteDetuned,QTI,0.15842415
Splenium,NowLteDetuned,QTI,0.19571236
Splenium,NowLteDetuned,QTI,0.16137542
Splenium,NowLteDetuned,QTI,0.1345912
Splenium,NowLteDetuned,QTI,0.11597622
Splenium,NowLteDetuned,QTI,0.10012309
Splenium,NowLteDetuned,QTI,0.17678164
Splenium,NowLteDetuned,QTI,0.1711911
Splenium,NowLteDetuned,QTI,0.16258273
Splenium,NowLteDetuned,QTI,0.14453077
Splenium,NowLteDetuned,QTI,0.1219616
Splenium,NowLteDetuned,QTI,0.18350619
Splenium,NowLteDetuned,QTI,0.19538906
Splenium,NowLteDetuned,QTI,0.18809517
Splenium,NowLteDetuned,QTI,0.15875505
Splenium,NowLteDetuned,QTI,0.114982754
Splenium,NowLteDetuned,QTI,0.08030543
Splenium,NowLteDetuned,QTI,0.16203336
Splenium,NowLteDetuned,QTI,0.16822547
Splenium,NowLteDetuned,QTI,0.1648826
Splenium,NowLteDetuned,QTI,0.14986637
Splenium,NowLteDetuned,QTI,0.1882683
Splenium,NowLteDetuned,QTI,0.13942224
Splenium,NowLteDetuned,QTI,0.24961019
Splenium,NowLteDetuned,QTI,0.20402548
Splenium,NowLteDetuned,QTI,0.21370071
Splenium,NowLteDetuned,QTI,0.18460587
Splenium,NowLteDetuned,QTI,0.16926655
Splenium,NowLteDetuned,QTI,0.17006253
Splenium,NowLteDetuned,QTI,0.16533828
Splenium,NowLteDetuned,QTI,0.18014868
Splenium,NowLteDetuned,QTI,0.18859233
Splenium,NowLteDetuned,QTI,0.15727949
Splenium,NowLteDetuned,QTI,0.1842346
Splenium,NowLteDetuned,QTI,0.20176314
Splenium,NowLteDetuned,QTI,0.15363352
Splenium,NowLteDetuned,QTI,0.1137852
