ROI,Sequence,Approach,OP
Splenium,NowLteDetuned,QTI,0.6586905
Splenium,NowLteDetuned,QTI,0.7179773
Splenium,NowLteDetuned,QTI,0.66115516
Splenium,NowLteDetuned,QTI,0.7458615
Splenium,NowLteDetuned,QTI,0.8213608
Splenium,NowLteDetuned,QTI,0.75059724
Splenium,NowLteDetuned,QTI,0.65061605
Splenium,NowLteDetuned,QTI,0.68929327
Splenium,NowLteDetuned,QTI,0.73406374
Splenium,NowLteDetuned,QTI,0.6475769
Splenium,NowLteDetuned,QTI,0.8095803
Splenium,NowLteDetuned,QTI,0.783834
Splenium,NowLteDetuned,QTI,0.70540416
Splenium,NowLteDetuned,QTI,0.69278705
Splenium,NowLteDetuned,QTI,0.69966596
Splenium,NowLteDetuned,QTI,0.60769
Splenium,NowLteDetuned,QTI,0.62783223
Splenium,NowLteDetuned,QTI,0.63338304
Splenium,NowLteDetuned,QTI,0.8538792
Splenium,NowLteDetuned,QTI,0.7670769
Splenium,NowLteDetuned,QTI,0.75823873
Splenium,NowLteDetuned,QTI,0.8548644
Splenium,NowLteDetuned,QTI,0.87798625
Splenium,NowLteDetuned,QTI,0.7366337
Splenium,NowLteDetuned,QTI,0.77471924
Splenium,NowLteDetuned,QTI,0.8149245
Splenium,NowLteDetuned,QTI,0.6796545
Splenium,NowLteDetuned,QTI,0.76267236
Splenium,NowLteDetuned,QTI,0.77815646
Splenium,NowLteDetuned,QTI,0.7550798
Splenium,NowLteDetuned,QTI,0.7464282
Splenium,NowLteDetuned,QTI,0.73963195
Splenium,NowLteDetuned,QTI,0.7421782
Splenium,NowLteDetuned,QTI,0.7504096
Splenium,NowLteDetuned,QTI,0.6528735
Splenium,NowLteDetuned,QTI,0.6835931
Splenium,NowLteDetuned,QTI,0.70694715
Splenium,NowLteDetuned,QTI,0.7088632
Splenium,NowLteDetuned,QTI,0.7185659
Splenium,NowLteDetuned,QTI,0.6191008
Splenium,NowLteDetuned,QTI,0.6629068
Splenium,NowLteDetuned,QTI,0.67034537
Splenium,NowLteDetuned,QTI,0.6843215
Splenium,NowLteDetuned,QTI,0.7059789
Splenium,NowLteDetuned,QTI,0.71460634
Splenium,NowLteDetuned,QTI,0.53446454
Splenium,NowLteDetuned,QTI,0.5310901
Splenium,NowLteDetuned,QTI,0.5603759
Splenium,NowLteDetuned,QTI,0.60438615
Splenium,NowLteDetuned,QTI,0.49134517
Splenium,NowLteDetuned,QTI,0.60492706
Splenium,NowLteDetuned,QTI,0.9112932
Splenium,NowLteDetuned,QTI,0.911773
Splenium,NowLteDetuned,QTI,0.91349494
Splenium,NowLteDetuned,QTI,0.87631613
Splenium,NowLteDetuned,QTI,0.91075927
Splenium,NowLteDetuned,QTI,0.84504884
Splenium,NowLteDetuned,QTI,0.7499002
Splenium,NowLteDetuned,QTI,0.76388067
Splenium,NowLteDetuned,QTI,0.7326114
Splenium,NowLteDetuned,QTI,0.652087
Splenium,NowLteDetuned,QTI,0.6890294
Splenium,NowLteDetuned,QTI,0.71322626
Splenium,NowLteDetuned,QTI,0.7104435
Splenium,NowLteDetuned,QTI,0.7365954
Splenium,NowLteDetuned,QTI,0.51079524
Splenium,NowLteDetuned,QTI,0.6294674
Splenium,NowLteDetuned,QTI,0.7181533
Splenium,NowLteDetuned,QTI,0.7281793
Splenium,NowLteDetuned,QTI,0.7464895
Splenium,NowLteDetuned,QTI,0.7895021
Splenium,NowLteDetuned,QTI,0.43423185
Splenium,NowLteDetuned,QTI,0.59928775
Splenium,NowLteDetuned,QTI,0.72007155
Splenium,NowLteDetuned,QTI,0.7361888
Splenium,NowLteDetuned,QTI,0.7591148
