ROI,Sequence,Approach,uFA
Splenium,NowLteDetuned,QTI,0.79780805
Splenium,NowLteDetuned,QTI,0.71998656
Splenium,NowLteDetuned,QTI,0.65168816
Splenium,NowLteDetuned,QTI,0.67749125
Splenium,NowLteDetuned,QTI,0.6361627
Splenium,NowLteDetuned,QTI,0.5415287
Splenium,NowLteDetuned,QTI,0.6674225
Splenium,NowLteDetuned,QTI,0.4871021
Splenium,NowLteDetuned,QTI,0.59210485
Splenium,NowLteDetuned,QTI,0.4354015
Splenium,NowLteDetuned,QTI,0.5346458
Splenium,NowLteDetuned,QTI,0.7611661
Splenium,NowLteDetuned,QTI,0.6114502
Splenium,NowLteDetuned,QTI,0.6994872
Splenium,NowLteDetuned,QTI,0.7559131
Splenium,NowLteDetuned,QTI,0.42695105
Splenium,NowLteDetuned,QTI,0.47728634
Splenium,NowLteDetuned,QTI,0.6060835
Splenium,NowLteDetuned,QTI,0.54437673
Splenium,NowLteDetuned,QTI,0.52062035
Splenium,NowLteDetuned,QTI,0.5234907
Splenium,NowLteDetuned,QTI,0.6579542
Splenium,NowLteDetuned,QTI,0.78266656
Splenium,NowLteDetuned,QTI,0.50522393
Splenium,NowLteDetuned,QTI,0.60225594
Splenium,NowLteDetuned,QTI,0.7341045
Splenium,NowLteDetuned,QTI,0.46340907
Splenium,NowLteDetuned,QTI,0.56097627
Splenium,NowLteDetuned,QTI,0.7073926
Splenium,NowLteDetuned,QTI,0.5267159
Splenium,NowLteDetuned,QTI,0.68765146
Splenium,NowLteDetuned,QTI,0.82489216
Splenium,NowLteDetuned,QTI,0.90355426
Splenium,NowLteDetuned,QTI,0.95240384
Splenium,NowLteDetuned,QTI,0.57218724
Splenium,NowLteDetuned,QTI,0.64345855
Splenium,NowLteDetuned,QTI,0.71708417
Splenium,NowLteDetuned,QTI,0.7821878
Splenium,NowLteDetuned,QTI,0.8502746
Splenium,NowLteDetuned,QTI,0.5733701
Splenium,NowLteDetuned,QTI,0.5804054
Splenium,NowLteDetuned,QTI,0.6164081
Splenium,NowLteDetuned,QTI,0.7147126
Splenium,NowLteDetuned,QTI,0.8470956
Splenium,NowLteDetuned,QTI,0.9127669
Splenium,NowLteDetuned,QTI,0.48855513
Splenium,NowLteDetuned,QTI,0.46914074
Splenium,NowLteDetuned,QTI,0.5323846
Splenium,NowLteDetuned,QTI,0.6497463
Splenium,NowLteDetuned,QTI,0.42494452
Splenium,NowLteDetuned,QTI,0.6604639
Splenium,NowLteDetuned,QTI,0.49411845
Splenium,NowLteDetuned,QTI,0.7082684
Splenium,NowLteDetuned,QTI,0.5369669
Splenium,NowLteDetuned,QTI,0.7165065
Splenium,NowLteDetuned,QTI,0.55952185
Splenium,NowLteDetuned,QTI,0.70380723
Splenium,NowLteDetuned,QTI,0.8574976
Splenium,NowLteDetuned,QTI,0.6645388
Splenium,NowLteDetuned,QTI,0.77028984
Splenium,NowLteDetuned,QTI,0.5784185
Splenium,NowLteDetuned,QTI,0.63465565
Splenium,NowLteDetuned,QTI,0.69332653
Splenium,NowLteDetuned,QTI,0.8202897
Splenium,NowLteDetuned,QTI,0.92644584
Splenium,NowLteDetuned,QTI,0.65552557
Splenium,NowLteDetuned,QTI,0.7034496
Splenium,NowLteDetuned,QTI,0.7575783
Splenium,NowLteDetuned,QTI,0.8344891
Splenium,NowLteDetuned,QTI,0.9047866
Splenium,NowLteDetuned,QTI,0.9602319
Splenium,NowLteDetuned,QTI,0.6732329
Splenium,NowLteDetuned,QTI,0.74260515
Splenium,NowLteDetuned,QTI,0.7903759
Splenium,NowLteDetuned,QTI,0.8163309
Splenium,NowLteDetuned,QTI,0.87262696
Splenium,NowLteDetuned,QTI,0.9291424
Splenium,NowLteDetuned,QTI,0.95524144
Splenium,NowLteDetuned,QTI,0.5893043
Splenium,NowLteDetuned,QTI,0.7484807
Splenium,NowLteDetuned,QTI,0.8033509
Splenium,NowLteDetuned,QTI,0.69942856
Splenium,NowLteDetuned,QTI,0.68307143
Splenium,NowLteDetuned,QTI,0.73361146
Splenium,NowLteDetuned,QTI,0.83438027
Splenium,NowLteDetuned,QTI,0.7327981
Splenium,NowLteDetuned,QTI,0.5569966
Splenium,NowLteDetuned,QTI,0.49795267
Splenium,NowLteDetuned,QTI,0.5234043
Splenium,NowLteDetuned,QTI,0.70843023
Splenium,NowLteDetuned,QTI,0.3500563
Splenium,NowLteDetuned,QTI,0.5987876
Splenium,NowLteDetuned,QTI,0.90083563
Splenium,NowLteDetuned,QTI,0.90547574
Splenium,NowLteDetuned,QTI,0.5032242
Splenium,NowLteDetuned,QTI,0.8295945
Splenium,NowLteDetuned,QTI,0.86278415
Splenium,NowLteDetuned,QTI,0.69401515
Splenium,NowLteDetuned,QTI,0.8534293
Splenium,NowLteDetuned,QTI,0.94846785
Splenium,NowLteDetuned,QTI,0.7014122
Splenium,NowLteDetuned,QTI,0.7726012
Splenium,NowLteDetuned,QTI,0.87334895
Splenium,NowLteDetuned,QTI,0.68835825
Splenium,NowLteDetuned,QTI,0.6936898
Splenium,NowLteDetuned,QTI,0.7043431
Splenium,NowLteDetuned,QTI,0.8040476
Splenium,NowLteDetuned,QTI,0.89394635
Splenium,NowLteDetuned,QTI,0.9568604
Splenium,NowLteDetuned,QTI,0.9938342
Splenium,NowLteDetuned,QTI,0.6900054
Splenium,NowLteDetuned,QTI,0.7057998
Splenium,NowLteDetuned,QTI,0.7306132
Splenium,NowLteDetuned,QTI,0.8126756
Splenium,NowLteDetuned,QTI,0.88722336
Splenium,NowLteDetuned,QTI,0.9397433
Splenium,NowLteDetuned,QTI,0.97197586
Splenium,NowLteDetuned,QTI,0.6596964
Splenium,NowLteDetuned,QTI,0.731261
Splenium,NowLteDetuned,QTI,0.77763146
Splenium,NowLteDetuned,QTI,0.8208231
Splenium,NowLteDetuned,QTI,0.87339014
Splenium,NowLteDetuned,QTI,0.9183982
Splenium,NowLteDetuned,QTI,0.9468206
Splenium,NowLteDetuned,QTI,0.95785195
Splenium,NowLteDetuned,QTI,0.9413556
Splenium,NowLteDetuned,QTI,0.5653026
Splenium,NowLteDetuned,QTI,0.7721902
Splenium,NowLteDetuned,QTI,0.8661216
Splenium,NowLteDetuned,QTI,0.8150334
Splenium,NowLteDetuned,QTI,0.81330895
Splenium,NowLteDetuned,QTI,0.842983
Splenium,NowLteDetuned,QTI,0.8998315
Splenium,NowLteDetuned,QTI,0.962555
Splenium,NowLteDetuned,QTI,0.94699043
Splenium,NowLteDetuned,QTI,0.906869
Splenium,NowLteDetuned,QTI,0.5830343
Splenium,NowLteDetuned,QTI,0.7949585
Splenium,NowLteDetuned,QTI,0.8701507
Splenium,NowLteDetuned,QTI,0.7599642
Splenium,NowLteDetuned,QTI,0.72396255
Splenium,NowLteDetuned,QTI,0.73960793
Splenium,NowLteDetuned,QTI,0.8430232
Splenium,NowLteDetuned,QTI,0.9722567
Splenium,NowLteDetuned,QTI,0.9545594
Splenium,NowLteDetuned,QTI,0.9031562
Splenium,NowLteDetuned,QTI,0.8685672
Splenium,NowLteDetuned,QTI,0.59410655
Splenium,NowLteDetuned,QTI,0.7452576
Splenium,NowLteDetuned,QTI,0.9289661
Splenium,NowLteDetuned,QTI,0.93918896
Splenium,NowLteDetuned,QTI,0.9176653
Splenium,NowLteDetuned,QTI,0.8856255
Splenium,NowLteDetuned,QTI,0.6432112
Splenium,NowLteDetuned,QTI,0.8802665
Splenium,NowLteDetuned,QTI,0.92643446
Splenium,NowLteDetuned,QTI,0.942847
Splenium,NowLteDetuned,QTI,0.9111866
Splenium,NowLteDetuned,QTI,0.8851033
Splenium,NowLteDetuned,QTI,0.5155157
Splenium,NowLteDetuned,QTI,0.8666646
Splenium,NowLteDetuned,QTI,0.9513051
Splenium,NowLteDetuned,QTI,0.9090087
Splenium,NowLteDetuned,QTI,0.87767065
Splenium,NowLteDetuned,QTI,0.8133898
Splenium,NowLteDetuned,QTI,0.86910695
Splenium,NowLteDetuned,QTI,0.9625906
Splenium,NowLteDetuned,QTI,0.9256356
Splenium,NowLteDetuned,QTI,0.9396782
Splenium,NowLteDetuned,QTI,0.8017363
Splenium,NowLteDetuned,QTI,0.7141199
Splenium,NowLteDetuned,QTI,0.80183405
Splenium,NowLteDetuned,QTI,0.88428664
Splenium,NowLteDetuned,QTI,0.94186366
Splenium,NowLteDetuned,QTI,0.68940717
Splenium,NowLteDetuned,QTI,0.6926066
Splenium,NowLteDetuned,QTI,0.7954916
Splenium,NowLteDetuned,QTI,0.8809487
Splenium,NowLteDetuned,QTI,0.92843705
Splenium,NowLteDetuned,QTI,0.9619684
Splenium,NowLteDetuned,QTI,0.6245688
Splenium,NowLteDetuned,QTI,0.67391944
Splenium,NowLteDetuned,QTI,0.71900636
Splenium,NowLteDetuned,QTI,0.81573206
Splenium,NowLteDetuned,QTI,0.891633
Splenium,NowLteDetuned,QTI,0.92114407
Splenium,NowLteDetuned,QTI,0.9433737
Splenium,NowLteDetuned,QTI,0.95652837
Splenium,NowLteDetuned,QTI,0.9553476
Splenium,NowLteDetuned,QTI,0.56300986
Splenium,NowLteDetuned,QTI,0.7225292
Splenium,NowLteDetuned,QTI,0.8378463
Splenium,NowLteDetuned,QTI,0.90717757
Splenium,NowLteDetuned,QTI,0.9590835
Splenium,NowLteDetuned,QTI,0.9615759
Splenium,NowLteDetuned,QTI,0.9707522
Splenium,NowLteDetuned,QTI,0.98387647
Splenium,NowLteDetuned,QTI,0.9717917
Splenium,NowLteDetuned,QTI,0.94710124
Splenium,NowLteDetuned,QTI,0.4271258
Splenium,NowLteDetuned,QTI,0.58210015
Splenium,NowLteDetuned,QTI,0.77896774
Splenium,NowLteDetuned,QTI,0.90995896
Splenium,NowLteDetuned,QTI,0.9439901
Splenium,NowLteDetuned,QTI,0.97397405
Splenium,NowLteDetuned,QTI,0.9778707
Splenium,NowLteDetuned,QTI,0.9870138
Splenium,NowLteDetuned,QTI,1.0084025
Splenium,NowLteDetuned,QTI,0.98972094
Splenium,NowLteDetuned,QTI,0.9549029
Splenium,NowLteDetuned,QTI,0.921824
Splenium,NowLteDetuned,QTI,0.65725416
Splenium,NowLteDetuned,QTI,0.91103923
Splenium,NowLteDetuned,QTI,0.89819634
Splenium,NowLteDetuned,QTI,0.89404315
Splenium,NowLteDetuned,QTI,0.8884858
Splenium,NowLteDetuned,QTI,0.930682
Splenium,NowLteDetuned,QTI,0.9729945
Splenium,NowLteDetuned,QTI,0.9679273
Splenium,NowLteDetuned,QTI,0.9503599
Splenium,NowLteDetuned,QTI,0.92961544
Splenium,NowLteDetuned,QTI,0.74447054
Splenium,NowLteDetuned,QTI,0.741693
Splenium,NowLteDetuned,QTI,0.8320581
Splenium,NowLteDetuned,QTI,0.9282699
Splenium,NowLteDetuned,QTI,0.9461097
Splenium,NowLteDetuned,QTI,0.9486524
Splenium,NowLteDetuned,QTI,0.94128805
Splenium,NowLteDetuned,QTI,0.930118
Splenium,NowLteDetuned,QTI,0.90602493
Splenium,NowLteDetuned,QTI,0.6730146
Splenium,NowLteDetuned,QTI,0.848596
Splenium,NowLteDetuned,QTI,0.91720957
Splenium,NowLteDetuned,QTI,0.96147645
Splenium,NowLteDetuned,QTI,0.9290261
Splenium,NowLteDetuned,QTI,0.9021359
Splenium,NowLteDetuned,QTI,0.7469321
Splenium,NowLteDetuned,QTI,0.8793338
Splenium,NowLteDetuned,QTI,0.9685959
Splenium,NowLteDetuned,QTI,0.9142284
Splenium,NowLteDetuned,QTI,0.8716019
Splenium,NowLteDetuned,QTI,0.8642708
Splenium,NowLteDetuned,QTI,0.6023184
Splenium,NowLteDetuned,QTI,0.8197084
Splenium,NowLteDetuned,QTI,0.96588993
Splenium,NowLteDetuned,QTI,0.9182855
Splenium,NowLteDetuned,QTI,0.8841544
Splenium,NowLteDetuned,QTI,0.8823881
Splenium,NowLteDetuned,QTI,0.9539315
Splenium,NowLteDetuned,QTI,0.9316578
Splenium,NowLteDetuned,QTI,0.9058834
Splenium,NowLteDetuned,QTI,0.70000076
Splenium,NowLteDetuned,QTI,0.91121364
Splenium,NowLteDetuned,QTI,0.7965876
Splenium,NowLteDetuned,QTI,0.9605178
Splenium,NowLteDetuned,QTI,0.6004554
Splenium,NowLteDetuned,QTI,0.8506215
Splenium,NowLteDetuned,QTI,0.84958553
Splenium,NowLteDetuned,QTI,0.9167915
Splenium,NowLteDetuned,QTI,0.9415542
Splenium,NowLteDetuned,QTI,0.96087885
Splenium,NowLteDetuned,QTI,0.79961807
Splenium,NowLteDetuned,QTI,0.86046463
Splenium,NowLteDetuned,QTI,0.90748733
Splenium,NowLteDetuned,QTI,0.9267016
Splenium,NowLteDetuned,QTI,0.9464737
Splenium,NowLteDetuned,QTI,0.96748394
Splenium,NowLteDetuned,QTI,0.7275731
Splenium,NowLteDetuned,QTI,0.85819364
Splenium,NowLteDetuned,QTI,0.90489495
Splenium,NowLteDetuned,QTI,0.93578583
Splenium,NowLteDetuned,QTI,0.94320613
Splenium,NowLteDetuned,QTI,0.95876944
Splenium,NowLteDetuned,QTI,0.98222566
Splenium,NowLteDetuned,QTI,0.97972506
Splenium,NowLteDetuned,QTI,0.6128378
Splenium,NowLteDetuned,QTI,0.7793289
Splenium,NowLteDetuned,QTI,0.9012525
Splenium,NowLteDetuned,QTI,0.9333079
Splenium,NowLteDetuned,QTI,0.9509486
Splenium,NowLteDetuned,QTI,0.950273
Splenium,NowLteDetuned,QTI,0.9656924
Splenium,NowLteDetuned,QTI,0.99333996
Splenium,NowLteDetuned,QTI,0.9911844
Splenium,NowLteDetuned,QTI,0.973609
Splenium,NowLteDetuned,QTI,0.9548704
Splenium,NowLteDetuned,QTI,0.5713992
Splenium,NowLteDetuned,QTI,0.66866565
Splenium,NowLteDetuned,QTI,0.8303658
Splenium,NowLteDetuned,QTI,0.926097
Splenium,NowLteDetuned,QTI,0.93304
Splenium,NowLteDetuned,QTI,0.93408096
Splenium,NowLteDetuned,QTI,0.9270608
Splenium,NowLteDetuned,QTI,0.9445865
Splenium,NowLteDetuned,QTI,0.9740131
Splenium,NowLteDetuned,QTI,0.9768139
Splenium,NowLteDetuned,QTI,0.969929
Splenium,NowLteDetuned,QTI,0.95331025
Splenium,NowLteDetuned,QTI,0.75586426
Splenium,NowLteDetuned,QTI,0.915432
Splenium,NowLteDetuned,QTI,0.8731651
Splenium,NowLteDetuned,QTI,0.8618372
Splenium,NowLteDetuned,QTI,0.8642766
Splenium,NowLteDetuned,QTI,0.902161
Splenium,NowLteDetuned,QTI,0.9466555
Splenium,NowLteDetuned,QTI,0.9625632
Splenium,NowLteDetuned,QTI,0.9695708
Splenium,NowLteDetuned,QTI,0.9526185
Splenium,NowLteDetuned,QTI,0.93535584
Splenium,NowLteDetuned,QTI,0.92933685
Splenium,NowLteDetuned,QTI,0.7425069
Splenium,NowLteDetuned,QTI,0.82204974
Splenium,NowLteDetuned,QTI,0.9034071
Splenium,NowLteDetuned,QTI,0.94801354
Splenium,NowLteDetuned,QTI,0.9830304
Splenium,NowLteDetuned,QTI,0.94717085
Splenium,NowLteDetuned,QTI,0.91646886
Splenium,NowLteDetuned,QTI,0.9107629
Splenium,NowLteDetuned,QTI,0.84103984
Splenium,NowLteDetuned,QTI,0.9237253
Splenium,NowLteDetuned,QTI,0.9856936
Splenium,NowLteDetuned,QTI,0.93815196
Splenium,NowLteDetuned,QTI,0.89822865
Splenium,NowLteDetuned,QTI,0.891403
Splenium,NowLteDetuned,QTI,0.60388935
Splenium,NowLteDetuned,QTI,0.7466404
Splenium,NowLteDetuned,QTI,0.8784272
Splenium,NowLteDetuned,QTI,0.97057784
Splenium,NowLteDetuned,QTI,0.92948943
Splenium,NowLteDetuned,QTI,0.89954054
Splenium,NowLteDetuned,QTI,0.90055877
Splenium,NowLteDetuned,QTI,0.8256985
Splenium,NowLteDetuned,QTI,0.9580777
Splenium,NowLteDetuned,QTI,0.9340841
Splenium,NowLteDetuned,QTI,0.91355157
Splenium,NowLteDetuned,QTI,0.91211843
